iter	Passed	Remaining
814	1302	295
815	1303	293
816	1304	292
817	1305	290
818	1307	288
819	1308	287
820	1310	285
821	1311	284
822	1312	282
823	1314	280
824	1315	279
825	1316	277
826	1318	275
827	1319	274
828	1320	272
829	1322	270
830	1323	269
831	1324	267
832	1326	265
833	1327	264
834	1329	262
835	1330	260
836	1331	259
837	1332	257
838	1334	256
839	1336	254
840	1337	252
841	1338	251
842	1340	249
843	1341	247
844	1342	246
845	1343	244
846	1345	242
847	1346	241
848	1347	239
849	1348	238
850	1350	236
851	1351	234
852	1352	233
853	1354	231
854	1355	229
855	1356	228
856	1357	226
857	1359	224
858	1360	223
859	1361	221
860	1363	220
861	1364	218
862	1366	216
863	1367	215
864	1368	213
865	1369	211
866	1370	210
867	1372	208
868	1373	207
869	1374	205
870	1376	203
871	1377	202
872	1379	200
873	1380	198
874	1381	197
875	1382	195
876	1384	194
877	1385	192
878	1386	190
879	1387	189
880	1389	187
881	1390	186
882	1392	184
883	1393	182
884	1394	181
885	1395	179
886	1397	177
887	1398	176
888	1399	174
889	1400	173
890	1402	171
891	1403	169
892	1404	168
893	1406	166
894	1407	165
895	1408	163
896	1409	161
897	1411	160
898	1412	158
899	1413	157
900	1414	155
901	1416	153
902	1418	152
903	1419	150
904	1421	149
905	1422	147
906	1423	145
907	1424	144
908	1426	142
909	1427	141
910	1428	139
911	1430	138
912	1431	136
913	1432	134
914	1433	133
915	1435	131
916	1436	130
917	1437	128
918	1438	126
919	1439	125
920	1440	123
921	1443	122
922	1444	120
923	1445	118
924	1447	117
925	1448	115
926	1449	114
927	1450	112
928	1452	110
929	1453	109
930	1455	107
931	1456	106
932	1458	104
933	1459	103
934	1460	101
935	1461	99
936	1463	98
937	1464	96
938	1465	95
939	1466	93
940	1468	92
941	1469	90
942	1471	88
943	1472	87
944	1473	85
945	1475	84
946	1476	82
947	1477	81
948	1478	79
949	1480	77
950	1481	76
951	1482	74
952	1484	73
953	1485	71
954	1486	70
955	1488	68
956	1489	66
957	1490	65
958	1491	63
959	1493	62
960	1494	60
961	1496	59
962	1498	57
963	1499	56
964	1501	54
965	1502	52
966	1503	51
967	1504	49
968	1506	48
969	1507	46
970	1508	45
971	1510	43
972	1511	41
973	1512	40
974	1514	38
975	1515	37
976	1516	35
977	1517	34
978	1519	32
979	1520	31
980	1521	29
981	1523	27
982	1524	26
983	1526	24
984	1527	23
985	1528	21
986	1529	20
987	1531	18
988	1532	17
989	1534	15
990	1535	13
991	1536	12
992	1537	10
993	1539	9
994	1540	7
995	1541	6
996	1542	4
997	1544	3
998	1545	1
999	1546	0
